Símbolo;Empresa;id_Industria;Industria;Sub_industria;Localización;Incorp. SP500;Fundación;Cant. Empleos;Facturac. U$S 2022;Costo Op. U$S;Gcia Bruta U$S 2022;Deuda U$S 2022;Valor de Mercado
EL;EstÃ©e Lauder Companies (The);XLP;Consumer Staples;Personal Care Products;New York;5/1/2006;1946;44.020;15.909.999.616;5.791.028.224;10.118.971.392;10.318.999.552;50.594.856.960
ELV;Elevance Health;XLV;Health Care;Managed Health Care;Indiana;25/7/2002;1946;102.300;165.716.000.768;125.604.000.768;40.112.000.000;26.019.000.320;104.597.078.016
EMN;Eastman Chemical Company;XLB;Materials;Diversified Chemicals;Tennessee;1/1/1994;1920;14.500;9.818.000.384;7.642.000.384;2.176.000.000;5.512.000.000;8.726.906.880
EMR;Emerson Electric;XLI;Industrials;Electrical Components & Equipment;Missouri;31/3/1965;1890;85.500;20.792.000.512;12.604.000.512;8.188.000.000;8.814.999.552;53.486.686.208
ENPH;Enphase;XLK;Information Technology;Electronic Components;California;7/1/2021;2006;2.821;2.796.498.944;1.821.903.944;974.595.000;1.320.580.992;15.818.545.152
EOG;EOG Resources;XLE;Energy;Oil & Gas Exploration & Production;Texas;2/11/2000;1999;2.850;25.225.000.960;5.093.000.960;20.132.000.000;4.148.999.936;68.974.632.960
EPAM;EPAM Systems;XLK;Information Technology;IT Consulting & Other Services;Pennsylvania;14/12/2021;1993;59.300;4.839.370.240;3.279.055.240;1.560.315.000;180.842.000;13.795.250.176
EQIX;Equinix;XLRE;Real Estate;Data Center REITs;California;20/3/2015;1998;12.621;7.188.203.008;4.216.517.008;2.971.686.000;17.177.803.776;67.459.354.624
EQR;Equity Residential;XLRE;Real Estate;Multi-Family Residential REITs;Illinois;3/12/2001;1969;2.400;2.817.199.104;1.064.600.104;1.752.599.000;7.756.782.080;22.162.001.920
EQT;EQT;XLE;Energy;Oil & Gas Exploration & Production;Pennsylvania;3/10/2022;1888;744;8.847.576.064;-875.083.936;9.722.660.000;4.671.553.024;16.898.549.760
ES;Eversource;XLU;Utilities;Multi-Utilities;Connecticut;30/7/1983;1966;10.000;12.670.369.792;7.260.435.792;5.409.934.000;24.822.075.392;19.273.037.824
ESS;Essex Property Trust;XLRE;Real Estate;Multi-Family Residential REITs;California;2/4/2014;1971;1.770;1.689.762.048;567.023.048;1.122.739.000;6.008.764.928;14.109.920.256
ETN;Eaton Corporation;XLI;Industrials;Electrical Components & Equipment;Ireland;4/3/1957;1911;92.000;22.047.000.576;15.160.000.576;6.887.000.000;9.781.999.616;81.068.818.432
ETR;Entergy;XLU;Utilities;Electric Utilities;Louisiana;4/3/1957;1913;12.000;13.318.200.320;8.039.849.320;5.278.351.000;27.279.112.192;19.403.202.560
ETSY;Etsy;XLY;Consumer Discretionary;Broadline Retail;New York;21/9/2020;2005;2.790;2.671.462.912;849.943.912;1.821.519.000;2.388.976.128;7.732.660.224
EVRG;Evergy;XLU;Utilities;Electric Utilities;Missouri;5/6/2018;1909;4.512;5.839.699.968;3.205.599.968;2.634.100.000;12.904.599.552;11.103.795.200
EW;Edwards Lifesciences;XLV;Health Care;Health Care Equipment;California;1/4/2011;1958;17.300;5.657.099.776;1.353.499.776;4.303.600.000;684.499.968;43.891.535.872
EXC;Exelon;XLU;Utilities;Multi-Utilities;Illinois;4/3/1957;2000;19.063;19.892.000.768;11.778.000.768;8.114.000.000;42.623.000.576;37.231.144.960
EXPD;Expeditors International;XLI;Industrials;Air Freight & Logistics;Washington;10/10/2007;1979;19.900;12.636.014.592;10.360.546.592;2.275.468.000;526.791.008;16.891.315.200
EXPE;Expedia Group;XLY;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Washington;2/10/2007;1996;16.500;12.259.999.744;2.249.999.744;10.010.000.000;6.549.000.192;14.322.162.688
EXR;Extra Space Storage;XLRE;Real Estate;Self-Storage REITs;Utah;19/1/2016;1977;4.781;2.065.756.032;549.858.032;1.515.898.000;7.721.080.832;25.469.497.344
F;Ford Motor Company;XLY;Consumer Discretionary;Automobile Manufacturers;Michigan;4/3/1957;1903;173.000;169.818.996.736;152.603.996.736;17.215.000.000;144.849.993.728;47.626.534.912
FANG;Diamondback Energy;XLE;Energy;Oil & Gas Exploration & Production;Texas;3/12/2018;2007;972;7.820.000.256;-352.999.744;8.173.000.000;6.735.000.064;25.950.066.688
FAST;Fastenal;XLI;Industrials;Building Products;Minnesota;15/9/2008;1967;20.631;16.624.076.943;13.408.276.943;3.215.800.000;7.841.545.728;31.366.182.912
FCX;Freeport-McMoRan;XLB;Materials;Copper;Arizona;5/4/1944;1912;25.600;21.887.000.576;12.177.000.576;9.710.000.000;9.495.000.064;50.707.841.024
FDS;FactSet;XLF;Financials;Financial Exchanges & Data;Connecticut;20/12/2021;1978;12.237;2.085.507.968;973.224.968;1.112.283.000;1.839.921.024;17.134.892.032
FDX;FedEx;XLI;Industrials;Air Freight & Logistics;Tennessee;31/12/1980;1971;328.000;88.593.997.824;64.197.997.824;24.396.000.000;16.289.502.208;65.158.008.832
FE;FirstEnergy;XLU;Utilities;Electric Utilities;Ohio;28/11/1997;1997;12.335;12.698.000.384;4.467.000.384;8.231.000.000;24.007.999.488;19.368.167.424
FFIV;F5, Inc.;XLK;Information Technology;Communications Equipment;Washington;20/12/2010;1996;6.149;2.806.227.968;650.009.968;2.156.218.000;292.232.000;9.226.890.240
FI;Fiserv;XLF;Financials;Transaction & Payment Processing Services;Wisconsin;2/4/2001;1984;41.000;18.452.000.768;8.707.000.768;9.745.000.000;23.320.999.936;68.977.934.336
FICO;Fair Isaac;XLK;Information Technology;Application Software;Montana;20/3/2023;1956;3.437;1.472.572.032;397.476.032;1.075.096.000;1.971.992.064;21.440.081.920
